NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,Physics,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Maths,Maths,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,chemistry,Maths,f,f
f,f,f,f,f,f
NEW TIME TABLE:   
CAEG,Physics,f,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,f,f,f
chemistry,Maths,f,f,f,f
ChemLab,ChemLab,Maths,f,f,f
chemistry,Maths,f,Physics,f,f
NEW TIME TABLE:   
CAEG,Physics,Physics,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,Maths,Physics,f,f
chemistry,Maths,Maths,f,f,f
ChemLab,ChemLab,Maths,f,f,f
chemistry,Maths,f,Physics,f,f
NEW TIME TABLE:   
Maths,Physics,Physics,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,CAEG,Maths,f,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,Maths,f,f,f
chemistry,Maths,f,Physics,f,f
NEW TIME TABLE:   
Maths,Physics,Physics,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,CAEG,Maths,f,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,Maths,f,f,f
chemistry,Maths,f,Physics,f,f
NEW TIME TABLE:   
Maths,Physics,Physics,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,CAEG,Maths,f,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,Maths,f,f,f
chemistry,Maths,f,Physics,f,f
NEW TIME TABLE:   
Maths,Physics,f,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,CAEG,Maths,f,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,Maths,f,f,Physics
chemistry,Maths,f,Physics,f,f
NEW TIME TABLE:   
Maths,Physics,f,f,f,f
chemistry,f,f,f,Physics,f
chemistry,Physics,CAEG,Maths,f,f
chemistry,Maths,f,f,Physics,f
ChemLab,ChemLab,Maths,f,f,Physics
chemistry,Maths,f,Physics,f,f
